ProductName,CategoryName,SalePrice
كستر,حلويات,2.23
مهلبية,حلويات,2.25
مغلي,حلويات,2.25
جلو,حلويات,1.70
حبش مدخن مع جبنة و خضرة,مناقيش سبسيال,3.35
فطيرة سبانغ كبيرة,فطيرة سبانغ كبيرة,0.78
فطيرة بقلة,فطيرة بقلة,0.78
فطيرة زعتر بري,فطيرة زعتر بري,0.78
علبة دبس رمان,علبة دبس رمان,0.22
ماء صغير,مشروبات,0.28
ماء كبير,مشروبات,0.45
مستر جوسي,مشروبات,0.30
ببسي,مشروبات,0.89
مرندا,مشروبات,0.89
سفن اب,مشروبات,0.89
لبن عيران,مشروبات,0.67
لبن عيران,مشروبات,0.67
ميرنداااا,مشروبات,0.89
بيتزا ا,مشروبات,11.17
اكسترا,اكسترا,0.00
صحن خضرة,اكسترا,0.39
مرتديلا و جبنة,اكسترا,4.13
حبش و جبنة,اكسترا,4.45
حبش مدخن و جبنة,اكسترا,4.47
ببروني و جبنة,اكسترا,4.36
موناليزا,اكسترا,4.45
فاهيتة و جبنة,اكسترا,0.00
دزينة كشك,معجنات,3.35
دزينة سبانغ,معجنات,3.35
دزينة سفيحة,معجنات,3.35
دزينة مشكل,معجنات,3.35
دزينة سمبوسك,معجنات,3.35
دزينة جبنة رول,معجنات,3.35
دزينة زعتر,معجنات,2.80
زعتر,كعك قليتي,0.67
لبني,كعك قليتي,1.56
بيكون,كعك قليتي,1.65
عكاوي,كعك قليتي,0.00
عكاوي و مزريلا,كعك قليتي,2.57
عكاوي و حلوم,كعك قليتي,2.57
عكاوي و اشقوان,كعك قليتي,2.79
عكاوي تشيكي,كعك قليتي,2.23
3 اجبان,كعك قليتي,2.79
٤ اجبان,كعك قليتي,3.35
كفتا,كعك قليتي,2.46
سجق,كعك قليتي,2.46
كفتا و جبني,كعك قليتي,2.68
سجق و جبني,كعك قليتي,2.68
مرغريتا سمول,بيتزا,3.91
مرغريتا ميديوم,بيتزا,47.00
مرغريتا لارج,بيتزا,48.00
بيتزا خضرا صغيرة,بيتزا,3.90
"بيتزا سجق صغيرة ",بيتزا,4.45
"بيتزا مرتديلا صغيرة ",بيتزا,4.45
صغير بيتزا حبش,بيتزا,3.91
بيتزا حبش صغيرة,بيتزا,5.00
"بيتزا حبش صغيرة ",بيتزا,4.45
خضار,بيتزا,11.17
بيتزاا,بيتزا,11.17
بيتزا خضار,بيتزا,11.17
بيتزا دجاج,بيتزا,55.00
"بيتزا طاووق صغيرة ",بيتزا,5.00
"بيتزا دجاج صغيرة ",بيتزا,4.45
٣ اجبان,مناقيش,2.79
بندورة بصل و جبنة,مناقيش,2.01
كشك و جبنة,مناقيش,2.01
لحمة,مناقيش,2.46
كفتا,مناقيش,2.46
سجق,مناقيش,2.46
لحمة و جبني,مناقيش,3.58
كفتة و جبنة,مناقيش,2.68
سجق و جبنة,مناقيش,2.68
مرتديلا وجبنة,مناقيش,2.68
حبش و جبنة,مناقيش,2.91
حمش مدخن و جبنة,مناقيش,0.00
ببروني و جبنة,مناقيش,2.91
موناليزا,مناقيش,3.24
زعتر,مناقيش,0.67
جبنة,مناقيش,2.00
بندورة و بصل,مناقيش,1.56
لبنة,مناقيش,1.56
زعتر و لبنة,مناقيش,1.68
زعتر و بصل و بندورة,مناقيش,1.68
كوكتير,مناقيش,1.79
موزاريلا,مناقيش,2.25
جبنة حرا,مناقيش,2.35
حلوم,مناقيش,2.55
قشقوان,مناقيش,2.57
عكاوي و مزريلا,مناقيش,2.57
عكاوي و حلوم,مناقيش,2.57
فيتا بصل و بندورة,مناقيش,2.01
حلوم و بيستو,مناقيش,2.80
دزينة جبنة و بقدونس,دزينات,3.35
دزينة حلوم,دزينات,3.35
دزينة جبنة مشكلة,دزينات,3.35
دزينة اصابع جبنة,دزينات,4.45
دزنية رقاقات جبنة,دزينات,4.47
دزينة مرتديلا وجبنة,دزينات,3.35
سجق و جبنة,دزينات,3.35
دزينة بيتزا عادي,دزينات,3.35
بيتزا رول,دزينات,3.35
لحم بعجين,دزينات,4.47
رقاقات لحمة,دزينات,5.03
نص دزينة,دزينات,1.68
٣ اجبان,مشروحة,3.35
بندورة بصل و جبنة,مشروحة,2.79
كشك و جبنة,مشروحة,2.79
لحمة,مشروحة,3.02
كفتا,مشروحة,3.02
سجق,مشروحة,3.02
لحمة و جبني,مشروحة,3.58
كفتة و جبنة,مشروحة,3.58
سجق و جبنة,مشروحة,3.58
مرتديلا وجبنة,مشروحة,3.58
حبش و جبنة,مشروحة,3.58
حمش مدخن و جبنة,مشروحة,0.00
ببروني و جبنة,مشروحة,3.80
موناليزا,مشروحة,3.91
زعتر,مشروحة,0.89
جبنة,مشروحة,2.80
بندورة و بصل,مشروحة,2.01
لبنة,مشروحة,2.01
زعتر و لبنة,مشروحة,2.23
زعتر و بصل و بندورة,مشروحة,2.23
كوكتيل,مشروحة,2.23
موزاريلا,مشروحة,3.02
جبنة حرا,مشروحة,3.00
حلوم,مشروحة,3.25
قشقوان,مشروحة,3.24
عكاوي و مزريلا,مشروحة,3.24
عكاوي و حلوم,مشروحة,3.24
فيتا بصل و بندورة,مشروحة,2.79
حلوم و بيستو,مشروحة,0.00
لبن,طلبية بيت,0.67
طلبية بيت,طلبية بيت,3.35
حيدر تصوير,طلبية,134.00
